municipio,vul_car_pob,NOM_MUN,NOM_LOC,PCON_LIMI,PHOG_IND,P5_HLI_NHE,PCON_DISC,VPH_PISODT,VPH_S_ELEC
Ixtlahuacán del Río,"9,529",Ixtlahuacán del Río,Total del Municipio,2683,34,0,1222,5608,45
Jalostotitlán,"13,490",Jalostotitlán,Total del Municipio,2517,45,0,1402,8861,27
Jamay,"7,333",Jamay,Total del Municipio,2458,195,0,1422,6123,10
Jesús María,"9,200",Jesús María,Total del Municipio,2724,76,0,1505,5372,36
Jilotlán de los Dolores,"4,196",Jilotlán de los Dolores,Total del Municipio,1005,68,13,612,2412,77
Jocotepec,"18,730",Jocotepec,Total del Municipio,4533,409,5,2279,10747,35
Juanacatlán,"8,603",Juanacatlán,Total del Municipio,3272,93,0,1201,8634,20
Juchitlán,"2,377",Juchitlán,Total del Municipio,704,26,0,280,1589,9
Lagos de Moreno,"55,820",Lagos de Moreno,Total del Municipio,15894,301,0,7758,44514,150
El Limón,"2,707",El Limón,Total del Municipio,892,5,0,561,1768,3
Magdalena,"7,036",Magdalena,Total del Municipio,2142,62,0,1111,5816,24
Santa María del Oro,756,Santa María del Oro,Total del Municipio,187,0,0,165,528,24
La Manzanilla de la Paz,"2,294",La Manzanilla de la Paz,Total del Municipio,401,13,0,224,1229,1
Mascota,"5,633",Mascota,Total del Municipio,2228,72,13,1121,4251,56
Mazamitla,"6,493",Mazamitla,Total del Municipio,1469,78,0,575,3565,14
Mexticacán,"1,911",Mexticacán,Total del Municipio,844,0,0,413,1608,7
Mezquitic,"3,795",Mezquitic,Total del Municipio,2949,16776,4537,1482,2711,1393
Mixtlán,"2,511",Mixtlán,Total del Municipio,644,7,0,245,1049,10
Ocotlán,"30,770",Ocotlán,Total del Municipio,12596,334,1,6053,28627,77
Ojuelos de Jalisco,"11,300",Ojuelos de Jalisco,Total del Municipio,3374,60,0,1801,8126,91
Pihuamo,"5,123",Pihuamo,Total del Municipio,1534,29,0,794,3404,44
Poncitlán,"16,937",Poncitlán,Total del Municipio,4879,89,0,2450,11999,88
Puerto Vallarta,"90,244",Puerto Vallarta,Total del Municipio,29035,6928,38,12531,85155,202
Villa Purificación,"4,880",Villa Purificación,Total del Municipio,1548,81,0,786,3292,87
Quitupan,"3,292",Quitupan,Total del Municipio,706,7,0,458,2330,30
El Salto,"57,645",El Salto,Total del Municipio,23766,2739,5,10873,57568,111
San Cristóbal de la Barranca,"1,522",San Cristóbal de la Barranca,Total del Municipio,333,124,1,241,785,5
San Diego de Alejandría,"3,557",San Diego de Alejandría,Total del Municipio,887,22,0,391,1961,8
San Juan de los Lagos,"27,258",San Juan de los Lagos,Total del Municipio,6613,118,0,3120,18503,37
San Julián,"8,248",San Julián,Total del Municipio,2269,23,0,1549,4745,12
San Marcos,"1,458",San Marcos,Total del Municipio,447,14,0,306,1009,10
San Martín de Bolaños,"1,501",San Martín de Bolaños,Total del Municipio,343,226,3,239,825,39
San Martín Hidalgo,"11,384",San Martín Hidalgo,Total del Municipio,3790,56,0,1868,8025,37
San Miguel el Alto,"14,343",San Miguel el Alto,Total del Municipio,4415,105,0,2290,8747,45
Gómez Farías,"6,876",Gómez Farías,Total del Municipio,1689,181,4,742,3695,14
San Sebastián del Oeste,"2,257",San Sebastián del Oeste,Total del Municipio,735,19,0,374,1509,27
Santa María de los Ángeles,"1,356",Santa María de los Ángeles,Total del Municipio,431,7,0,306,1062,10
Sayula,"13,238",Sayula,Total del Municipio,3733,352,4,1416,9107,34
Tala,"26,016",Tala,Total del Municipio,10107,2081,12,4406,24667,101
Talpa de Allende,"5,759",Talpa de Allende,Total del Municipio,1871,62,0,829,4260,77
Tamazula de Gordiano,"14,301",Tamazula de Gordiano,Total del Municipio,5137,162,1,2230,11346,123
Tapalpa,"9,332",Tapalpa,Total del Municipio,1542,215,13,837,4628,17
Tecalitlán,"6,969",Tecalitlán,Total del Municipio,1385,32,0,843,4668,131
Tecolotlán,"5,630",Tecolotlán,Total del Municipio,1542,46,0,877,4912,18
Techaluta de Montenegro,"1,686",Techaluta de Montenegro,Total del Municipio,422,21,0,197,1061,2
Tenamaxtlán,"3,437",Tenamaxtlán,Total del Municipio,997,41,0,583,2229,5
Teocaltiche,"15,428",Teocaltiche,Total del Municipio,4321,116,0,2317,10892,38
Teocuitatlán de Corona,"4,951",Teocuitatlán de Corona,Total del Municipio,1511,28,0,837,3170,19
Tepatitlán de Morelos,"44,723",Tepatitlán de Morelos,Total del Municipio,9853,374,1,5335,40600,94
Tequila,"13,886",Tequila,Total del Municipio,4351,151,0,2142,10878,151
Teuchitlán,"4,500",Teuchitlán,Total del Municipio,1751,19,1,683,2689,15
Tizapán el Alto,"9,548",Tizapán el Alto,Total del Municipio,2835,72,0,1557,6187,34
Tlajomulco de Zúñiga,"196,805",Tlajomulco de Zúñiga,Total del Municipio,67700,9052,19,25325,210596,244
Tlaquepaque,"182,386",,,,,,,,
Tolimán,"4,941",Tolimán,Total del Municipio,962,160,23,541,2407,55
Tomatlán,"15,309",Tomatlán,Total del Municipio,5199,875,107,2646,9936,177
Tonalá,"161,824",Tonalá,Total del Municipio,56114,2974,18,23641,146065,172
Tonaya,"2,870",Tonaya,Total del Municipio,713,2,0,321,1796,1
Tonila,"2,409",Tonila,Total del Municipio,644,77,0,392,2103,5
Totatiche,"2,216",Totatiche,Total del Municipio,524,51,0,224,1305,21
Tototlán,"8,786",Tototlán,Total del Municipio,2870,27,0,1284,6382,16
Tuxcacuesco,"2,943",Tuxcacuesco,Total del Municipio,539,73,15,410,1233,16
Tuxcueca,"2,638",Tuxcueca,Total del Municipio,555,14,0,314,1722,10
Tuxpan,"12,298",Tuxpan,Total del Municipio,3320,476,3,1476,9202,64
Unión de San Antonio,"10,462",Unión de San Antonio,Total del Municipio,2445,9,0,1289,4852,41
Unión de Tula,"5,336",Unión de Tula,Total del Municipio,1812,60,2,1012,4043,11
Valle de Guadalupe,"2,983",Valle de Guadalupe,Total del Municipio,413,0,0,295,1850,2
Valle de Juárez,"3,066",Valle de Juárez,Total del Municipio,866,16,0,453,1849,14
San Gabriel,"6,972",San Gabriel,Total del Municipio,1950,150,12,904,3998,23
Villa Corona,"6,361",Villa Corona,Total del Municipio,2501,46,0,1079,5006,15
Villa Guerrero,"2,286",Villa Guerrero,Total del Municipio,650,408,4,454,1566,65
Villa Hidalgo,"10,121",Villa Hidalgo,Total del Municipio,1806,28,0,762,5546,14
Cañadas de Obregón,"2,336",Cañadas de Obregón,Total del Municipio,599,18,0,454,1380,19
Yahualica de González Gallo,"8,974",Yahualica de González Gallo,Total del Municipio,3256,24,0,1407,6853,48
Zacoalco de Torres,"8,840",Zacoalco de Torres,Total del Municipio,2982,89,2,1513,7372,29
Zapopan,"459,843",Zapopan,Total del Municipio,125681,26955,69,54121,408563,286
Zapotiltic,"13,297",Zapotiltic,Total del Municipio,3621,482,36,1510,8805,49
Zapotitlán de Vadillo,"2,582",Zapotitlán de Vadillo,Total del Municipio,815,40,0,352,1687,88
Zapotlán del Rey,"8,104",Zapotlán del Rey,Total del Municipio,2479,18,0,1328,5071,26
Zapotlanejo,"31,570",Zapotlanejo,Total del Municipio,8067,144,0,3707,17751,90
San Ignacio Cerro Gordo,"8,559",San Ignacio Cerro Gordo,Total del Municipio,1578,93,0,671,4845,16
Acambay,"19,572",,,,,,,,
Acolman,"54,246",Acolman,Total del Municipio,17390,5216,16,7305,44294,95
Aculco,"18,742",Aculco,Total del Municipio,5398,6817,67,2324,12772,325
Almoloya de Alquisiras,"5,167",Almoloya de Alquisiras,Total del Municipio,1801,2,0,708,4060,54
Almoloya de Juárez,"45,891",Almoloya de Juárez,Total del Municipio,16665,2600,2,6994,40769,488
Almoloya del Río,"2,981",Almoloya del Río,Total del Municipio,1111,226,0,599,2787,10
Amanalco,"5,596",Amanalco,Total del Municipio,1915,3580,9,960,5752,144
Amatepec,"7,321",Amatepec,Total del Municipio,3844,10,0,1880,6445,114
Amecameca,"9,796",Amecameca,Total del Municipio,5483,335,1,1938,12496,58
Apaxco,"8,758",Apaxco,Total del Municipio,4037,309,0,1569,8038,24
Atenco,"15,908",Atenco,Total del Municipio,8668,3771,13,3711,17773,78
Atizapán,"3,517",Atizapán,Total del Municipio,1327,366,1,478,2669,18
Atizapán de Zaragoza,"113,778",Atizapán de Zaragoza,Total del Municipio,52740,17248,45,21320,148635,61
Atlacomulco,"31,911",Atlacomulco,Total del Municipio,10265,31042,243,3931,27183,282
Atlautla,"4,551",Atlautla,Total del Municipio,2916,162,1,1046,6804,72
Axapusco,"7,071",Axapusco,Total del Municipio,2706,443,0,1290,7596,35
Ayapango,"3,476",Ayapango,Total del Municipio,1222,81,0,413,2521,9
Calimaya,"12,806",Calimaya,Total del Municipio,5535,596,1,1978,16862,48
Capulhuac,"9,538",Capulhuac,Total del Municipio,3898,310,0,1339,8097,20
Coacalco de Berriozábal,"68,467",Coacalco de Berriozábal,Total del Municipio,40548,4094,12,14160,89220,29
Coatepec Harinas,"15,244",Coatepec Harinas,Total del Municipio,3302,108,0,1471,8841,92
Cocotitlán,"3,720",Cocotitlán,Total del Municipio,1808,472,1,702,3718,23
Coyotepec,"6,871",Coyotepec,Total del Municipio,3127,1308,2,1256,9498,27
Cuautitlán,"42,356",Cuautitlán,Total del Municipio,19586,3556,3,6594,51685,18
Chalco,"83,907",Chalco,Total del Municipio,44538,18740,58,16394,99405,298
Chapa de Mota,"7,527",Chapa de Mota,Total del Municipio,4344,11861,63,1675,7618,141
Chapultepec,"2,881",Chapultepec,Total del Municipio,1091,197,1,368,3332,9
Chiautla,"7,237",Chiautla,Total del Municipio,3360,774,3,1135,7603,16
Chicoloapan,"39,565",Chicoloapan,Total del Municipio,24802,5904,18,9520,53838,133
Chiconcuac,"7,563",Chiconcuac,Total del Municipio,2880,1526,1,983,5997,10
Chimalhuacán,"117,568",Chimalhuacán,Total del Municipio,76603,56631,258,33884,173041,353
Donato Guerra,"5,704",Donato Guerra,Total del Municipio,3056,9922,243,1323,7497,260
Ecatepec de Morelos,"388,229",Ecatepec de Morelos,Total del Municipio,217430,64680,250,85662,441858,311
Ecatzingo,"2,282",Ecatzingo,Total del Municipio,813,85,0,348,2516,23
Huehuetoca,"34,816",Huehuetoca,Total del Municipio,17554,6921,14,6310,46134,63
Hueypoxtla,"11,427",Hueypoxtla,Total del Municipio,6240,411,2,2325,11332,23
Huixquilucan,"77,759",Huixquilucan,Total del Municipio,25266,9919,47,9515,80989,97
Isidro Fabela,"5,170",Isidro Fabela,Total del Municipio,856,389,0,550,2910,14
Ixtapaluca,"106,681",Ixtapaluca,Total del Municipio,65679,27717,153,24992,142106,284
Ixtapan de la Sal,"10,554",Ixtapan de la Sal,Total del Municipio,4600,152,1,2171,9488,56
Ixtapan del Oro,"1,242",Ixtapan del Oro,Total del Municipio,457,411,0,222,1589,43
Ixtlahuaca,"25,464",Ixtlahuaca,Total del Municipio,20197,60545,355,7607,36722,348
Xalatlaco,"5,980",Xalatlaco,Total del Municipio,2064,670,3,885,6759,29
Jaltenco,"6,052",Jaltenco,Total del Municipio,4070,462,0,1450,7466,6
Jilotepec,"25,974",Jilotepec,Total del Municipio,10937,1139,2,4974,22534,513
Jilotzingo,"6,027",Jilotzingo,Total del Municipio,2404,418,1,984,4920,34
Jiquipilco,"18,331",Jiquipilco,Total del Municipio,7065,14886,73,3519,18114,245
Jocotitlán,"16,853",Jocotitlán,Total del Municipio,8249,6326,19,3100,17358,254
Joquicingo,"3,022",Joquicingo,Total del Municipio,1875,198,1,777,3354,24
Juchitepec,"4,670",Juchitepec,Total del Municipio,3130,148,0,1160,6427,36
Lerma,"36,612",Lerma,Total del Municipio,15924,7055,41,5638,41644,134
Malinalco,"8,433",Malinalco,Total del Municipio,2863,130,0,1481,7092,64
Melchor Ocampo,"12,037",Melchor Ocampo,Total del Municipio,6646,2844,6,2509,14812,34
Metepec,"50,264",Metepec,Total del Municipio,24059,2373,4,8439,67523,64
Mexicaltzingo,"4,101",Mexicaltzingo,Total del Municipio,861,176,1,393,3239,4
Morelos,"5,371",Morelos,Total del Municipio,3563,11174,99,1654,7682,279
Naucalpan de Juárez,"190,650",Naucalpan de Juárez,Total del Municipio,87908,45329,139,34584,237792,185
Nezahualcóyotl,"231,374",Nezahualcóyotl,Total del Municipio,140417,32303,108,59560,295616,182
Nextlalpan,"12,706",Nextlalpan,Total del Municipio,7402,2225,7,2468,15488,31
Nicolás Romero,"91,524",Nicolás Romero,Total del Municipio,53183,26471,89,19742,112255,164
Nopaltepec,"2,707",Nopaltepec,Total del Municipio,1013,68,0,425,2841,8
Ocoyoacac,"20,027",Ocoyoacac,Total del Municipio,8729,3424,10,2609,16996,57
Ocuilan,"10,128",Ocuilan,Total del Municipio,4433,3927,21,1966,8376,74
El Oro,"10,394",El Oro,Total del Municipio,2983,10338,30,1479,8935,107
Otumba,"10,252",Otumba,Total del Municipio,3222,343,1,1436,9104,54
Otzoloapan,"1,627",Otzoloapan,Total del Municipio,451,5,0,206,1248,2
Otzolotepec,"17,396",Otzolotepec,Total del Municipio,7906,13009,80,2883,19742,80
Ozumba,"7,591",Ozumba,Total del Municipio,2975,225,3,1163,6651,38
Papalotla,"1,422",Papalotla,Total del Municipio,613,79,0,223,1208,1
La Paz,"61,897",La Paz,Total del Municipio,38672,26891,110,16263,74542,208
Polotitlán,"5,120",Polotitlán,Total del Municipio,1832,98,0,925,3943,31
Rayón,"2,146",Rayón,Total del Municipio,1288,162,0,630,3694,14
San Antonio la Isla,"5,960",San Antonio la Isla,Total del Municipio,3282,381,1,1119,8376,24
San Felipe del Progreso,"28,402",San Felipe del Progreso,Total del Municipio,13741,85454,725,6452,31433,724
San Martín de las Pirámides,"10,302",San Martín de las Pirámides,Total del Municipio,2652,735,1,1256,7442,21
San Mateo Atenco,"16,843",San Mateo Atenco,Total del Municipio,8959,1131,3,3231,22627,63
San Simón de Guerrero,"2,370",San Simón de Guerrero,Total del Municipio,791,36,0,381,1637,30
Santo Tomás,"3,871",Santo Tomás,Total del Municipio,486,13,0,241,2577,11
Soyaniquilpan de Juárez,"4,517",Soyaniquilpan de Juárez,Total del Municipio,1971,73,0,800,3919,70
Sultepec,"5,629",Sultepec,Total del Municipio,2676,424,0,1288,5746,111
Tecámac,"130,980",Tecámac,Total del Municipio,63569,13231,27,20988,162629,98
Tejupilco,"21,013",Tejupilco,Total del Municipio,8474,202,0,4416,18775,156
Temamatla,"3,751",Temamatla,Total del Municipio,1348,683,1,559,3604,53
Temascalapa,"11,085",Temascalapa,Total del Municipio,4062,947,2,1860,11144,62
Temascalcingo,"17,953",Temascalcingo,Total del Municipio,6996,19924,139,3436,16806,167
Temascaltepec,"9,305",Temascaltepec,Total del Municipio,3199,3555,20,1703,8143,127
Temoaya,"27,197",Temoaya,Total del Municipio,9322,53658,432,3346,22785,206
Tenancingo,"25,514",Tenancingo,Total del Municipio,9294,460,1,4339,24838,142
Tenango del Aire,"2,566",Tenango del Aire,Total del Municipio,895,180,0,458,2806,15
Tenango del Valle,"14,690",Tenango del Valle,Total del Municipio,8976,1001,1,3578,19901,152
Teoloyucan,"14,395",Teoloyucan,Total del Municipio,6192,725,1,2503,15743,32
Teotihuacán,"15,593",Teotihuacán,Total del Municipio,5400,2236,3,1997,15496,35
Tepetlaoxtoc,"9,925",Tepetlaoxtoc,Total del Municipio,4280,727,2,1529,8180,26
Tepetlixpa,"4,909",Tepetlixpa,Total del Municipio,1938,181,2,805,4660,24
Tepotzotlán,"24,282",Tepotzotlán,Total del Municipio,12277,2926,8,4346,26386,75
Tequixquiac,"10,545",Tequixquiac,Total del Municipio,4893,522,1,1663,10522,47
Texcaltitlán,"5,112",Texcaltitlán,Total del Municipio,1810,42,0,937,4399,75
Texcalyacac,"1,189",Texcalyacac,Total del Municipio,431,156,0,162,1419,6
Texcoco,"68,199",Texcoco,Total del Municipio,33177,14697,70,12077,70015,162
Tezoyuca,"10,750",Tezoyuca,Total del Municipio,4698,3040,9,1936,11612,20
Tianguistenco,"21,914",Tianguistenco,Total del Municipio,9100,2574,5,3200,19223,106
Timilpan,"6,824",Timilpan,Total del Municipio,1873,2110,11,989,4427,45
Tlalmanalco,"9,699",Tlalmanalco,Total del Municipio,5552,353,0,1951,12451,29
Tlalnepantla de Baz,"141,223",Tlalnepantla de Baz,Total del Municipio,75657,20681,69,30733,197727,130
Tlatlaya,"10,461",Tlatlaya,Total del Municipio,3495,71,1,1861,7924,93
Toluca,"181,786",Toluca,Total del Municipio,92942,68785,444,32451,235792,762
Tonatico,"4,563",Tonatico,Total del Municipio,1788,77,1,752,3514,7
Tultepec,"36,515",Tultepec,Total del Municipio,17725,3977,5,6428,42092,40
Tultitlán,"103,148",Tultitlán,Total del Municipio,62947,13553,37,22814,144015,76
Valle de Bravo,"18,694",Valle de Bravo,Total del Municipio,5076,861,1,2111,15530,124
Villa de Allende,"10,956",Villa de Allende,Total del Municipio,4515,7048,25,2102,11786,298
Villa del Carbón,"15,082",Villa del Carbón,Total del Municipio,5756,3164,6,2960,12292,366
Villa Guerrero,"22,744",Villa Guerrero,Total del Municipio,7178,132,0,3495,16567,143
Villa Victoria,"27,325",Villa Victoria,Total del Municipio,8990,19197,106,4100,22819,520
Xonacatlán,"12,971",Xonacatlán,Total del Municipio,6258,2473,6,2302,12824,47
Zacazonapan,"1,842",Zacazonapan,Total del Municipio,290,12,0,184,1363,10
Zacualpan,"3,076",Zacualpan,Total del Municipio,1556,3,0,652,3252,89
Zinacantepec,"34,654",Zinacantepec,Total del Municipio,15823,2466,1,5860,47497,199
Zumpahuacán,"3,759",Zumpahuacán,Total del Municipio,1863,93,0,863,4153,58
Zumpango,"63,908",Zumpango,Total del Municipio,38268,8898,18,13358,77167,168
Cuautitlán Izcalli,"119,117",Cuautitlán Izcalli,Total del Municipio,69449,11341,18,25006,159234,69
Valle de Chalco Solidaridad,"69,325",Valle de Chalco Solidaridad,Total del Municipio,52883,29470,110,21314,100376,133
Luvianos,"5,254",Luvianos,Total del Municipio,3653,66,0,2339,6785,129
San José del Rincón,"17,506",San José del Rincón,Total del Municipio,6723,29134,177,3535,20706,372
Tonanitla,"4,177",Tonanitla,Total del Municipio,1832,615,2,500,3890,7
Acuitzio,"4,197",Acuitzio,Total del Municipio,1133,66,0,688,2625,37
Aguililla,"4,472",Aguililla,Total del Municipio,1460,156,5,874,3925,94
Álvaro Obregón,"7,531",Álvaro Obregón,Total del Municipio,2664,53,0,1448,5669,22
Angamacutiro,"7,624",Angamacutiro,Total del Municipio,2511,28,0,1302,4092,20
Angangueo,"3,339",Angangueo,Total del Municipio,1255,26,0,552,2462,17
Apatzingán,"53,156",Apatzingán,Total del Municipio,13933,1980,240,6909,30569,199
Aporo,"1,263",Aporo,Total del Municipio,500,5,0,178,841,2
Aquila,"11,923",Aquila,Total del Municipio,2137,10892,25,1339,3668,584
Ario,"13,189",Ario,Total del Municipio,4105,151,0,1880,8371,35
Arteaga,"8,672",Arteaga,Total del Municipio,2475,36,0,1155,5066,125
Briseñas,"4,493",Briseñas,Total del Municipio,1243,19,0,738,3084,5
Buenavista,"19,436",Buenavista,Total del Municipio,4352,1888,145,2416,11341,71
Carácuaro,"2,991",Carácuaro,Total del Municipio,760,15,0,366,2189,60
Coahuayana,"7,303",Coahuayana,Total del Municipio,1434,370,19,805,4414,39
Coalcomán de Vázquez Pallares,"6,761",Coalcomán de Vázquez Pallares,Total del Municipio,1917,181,0,1047,4803,169
Coeneo,"10,360",Coeneo,Total del Municipio,2891,4472,29,1513,5554,34
Contepec,"13,243",Contepec,Total del Municipio,4870,99,1,2525,8896,88
Copándaro,"2,649",Copándaro,Total del Municipio,1027,17,0,484,2291,16
Cotija,"9,360",Cotija,Total del Municipio,2319,95,1,1603,5751,30
Cuitzeo,"8,231",Cuitzeo,Total del Municipio,3749,46,0,1737,7024,28
Charapan,"2,157",Charapan,Total del Municipio,1503,7529,327,606,2971,45
Charo,"10,662",Charo,Total del Municipio,3038,101,0,1255,5327,43
Chavinda,"4,125",Chavinda,Total del Municipio,1473,128,0,819,2958,10
Cherán,"3,471",Cherán,Total del Municipio,1334,8586,86,820,3835,48
Chilchota,"10,561",Chilchota,Total del Municipio,2860,24569,897,1544,8263,84
Chinicuila,"2,061",Chinicuila,Total del Municipio,449,190,0,287,1133,52
Chucándiro,"2,325",Chucándiro,Total del Municipio,723,0,0,412,1419,6
Churintzio,"2,609",Churintzio,Total del Municipio,889,16,0,589,1674,6
Churumuco,"3,761",Churumuco,Total del Municipio,1654,8,0,948,2526,80
Ecuandureo,"5,979",Ecuandureo,Total del Municipio,1935,12,0,915,3618,9
Epitacio Huerta,"7,535",Epitacio Huerta,Total del Municipio,2778,77,0,1685,4457,59
Erongarícuaro,"4,941",Erongarícuaro,Total del Municipio,1664,6360,21,686,3772,23
Gabriel Zamora,"7,848",Gabriel Zamora,Total del Municipio,1735,61,0,1026,5795,35
Hidalgo,"31,592",Hidalgo,Total del Municipio,14185,329,0,6975,29195,225
La Huacana,"9,984",La Huacana,Total del Municipio,3708,116,0,2411,7301,83
Huandacareo,"4,744",Huandacareo,Total del Municipio,2047,21,0,1026,3334,10
Huaniqueo,"3,561",Huaniqueo,Total del Municipio,1666,9,0,723,2418,11
Huetamo,"15,652",Huetamo,Total del Municipio,5837,122,1,2395,11160,178
Huiramba,"3,219",Huiramba,Total del Municipio,865,55,0,422,2174,13
Indaparapeo,"5,128",Indaparapeo,Total del Municipio,2626,23,0,1264,4258,39
Irimbo,"5,211",Irimbo,Total del Municipio,1920,19,0,1059,3924,41
Ixtlán,"6,775",Ixtlán,Total del Municipio,2329,19,0,1035,3863,16
Jacona,"23,088",Jacona,Total del Municipio,6444,1525,8,3486,17585,52
Jiménez,"5,809",Jiménez,Total del Municipio,2209,31,0,977,3860,23
Jiquilpan,"14,230",Jiquilpan,Total del Municipio,4907,135,0,2586,10412,37
Juárez,"4,625",Juárez,Total del Municipio,1663,14,0,793,3908,19
Jungapeo,"9,193",Jungapeo,Total del Municipio,1363,48,0,789,4762,26
Lagunillas,"1,493",Lagunillas,Total del Municipio,656,15,0,257,1454,7
Madero,"4,917",Madero,Total del Municipio,1978,57,0,900,3983,200
Maravatío,"27,035",Maravatío,Total del Municipio,10639,410,1,5075,21899,247
Marcos Castellanos,"7,650",Marcos Castellanos,Total del Municipio,2032,45,0,969,4146,11
Lázaro Cárdenas,"59,836",Lázaro Cárdenas,Total del Municipio,23298,3590,15,10504,53339,227
Morelia,"281,363",Morelia,Total del Municipio,102660,11580,25,41447,238066,502
Morelos,"3,857",Morelos,Total del Municipio,1273,17,0,571,2196,14
Múgica,"16,527",Múgica,Total del Municipio,4947,326,6,3092,11065,74
Nahuatzen,"5,881",Nahuatzen,Total del Municipio,2898,15029,1170,1475,5292,64
Nocupétaro,"2,778",Nocupétaro,Total del Municipio,654,10,0,338,1936,79
Nuevo Parangaricutiro,"6,898",Nuevo Parangaricutiro,Total del Municipio,1447,743,2,792,4475,13
Nuevo Urecho,"4,300",Nuevo Urecho,Total del Municipio,1148,59,0,554,2418,25
Numarán,"3,055",Numarán,Total del Municipio,683,7,0,516,2395,7
Ocampo,"4,997",Ocampo,Total del Municipio,2211,121,0,1139,5605,61
Pajacuarán,"6,153",Pajacuarán,Total del Municipio,2525,88,0,1511,5452,28
Panindícuaro,"6,471",Panindícuaro,Total del Municipio,1888,20,0,1177,4062,17
Parácuaro,"9,048",Parácuaro,Total del Municipio,2577,289,4,1437,6551,47
Paracho,"10,309",Paracho,Total del Municipio,3912,16538,557,1914,8033,56
Pátzcuaro,"29,591",Pátzcuaro,Total del Municipio,11201,10413,26,4909,22158,169
Penjamillo,"7,713",Penjamillo,Total del Municipio,2298,16,0,1147,4772,19
Peribán,"16,267",Peribán,Total del Municipio,2867,420,0,1187,7202,37
La Piedad,"39,040",La Piedad,Total del Municipio,11286,563,3,6188,29331,68
Purépero,"5,926",Purépero,Total del Municipio,2115,87,0,1067,4347,13
Puruándiro,"23,401",Puruándiro,Total del Municipio,9611,208,0,5064,18187,45
Queréndaro,"3,936",Queréndaro,Total del Municipio,2035,65,0,1439,3450,42
Quiroga,"7,797",Quiroga,Total del Municipio,2303,9563,378,1537,6315,39
Cojumatlán de Régules,"3,673",Cojumatlán de Régules,Total del Municipio,1144,12,0,792,2890,8
Los Reyes,"28,683",Los Reyes,Total del Municipio,7485,18185,1216,3579,19608,134
Sahuayo,"35,174",Sahuayo,Total del Municipio,8855,179,0,4984,21310,31
San Lucas,"7,272",San Lucas,Total del Municipio,2022,73,0,1418,4796,61
Santa Ana Maya,"4,686",Santa Ana Maya,Total del Municipio,1948,17,0,879,3273,20
Salvador Escalante,"16,432",Salvador Escalante,Total del Municipio,4810,81,0,1996,10301,66
Senguio,"8,196",Senguio,Total del Municipio,2459,54,0,1178,4794,54
Susupuato,"3,032",Susupuato,Total del Municipio,1078,365,0,688,2162,58
Tacámbaro,"37,663",Tacámbaro,Total del Municipio,5860,235,0,3074,19194,110
Tancítaro,"26,606",Tancítaro,Total del Municipio,2699,701,21,1306,7605,71
Tangamandapio,"9,101",Tangamandapio,Total del Municipio,2665,14926,198,1608,6058,44
Tangancícuaro,"15,587",Tangancícuaro,Total del Municipio,4201,2517,10,2182,9010,53
Tanhuato,"8,895",Tanhuato,Total del Municipio,1600,91,1,740,4131,5
Taretan,"6,123",Taretan,Total del Municipio,2043,90,0,983,4100,15
Tarímbaro,"40,842",Tarímbaro,Total del Municipio,14267,1111,0,5540,32648,68
Tepalcatepec,"16,241",Tepalcatepec,Total del Municipio,3086,140,0,1788,6889,21
Tingambato,"3,942",Tingambato,Total del Municipio,1357,1513,22,641,3185,19
Tingüindín,"7,459",Tingüindín,Total del Municipio,2194,1295,30,872,3971,18
Tiquicheo de Nicolás Romero,"5,602",Tiquicheo de Nicolás Romero,Total del Municipio,1529,18,0,747,3079,81
Tlalpujahua,"10,289",Tlalpujahua,Total del Municipio,3104,86,0,1511,6897,66
Tlazazalca,"3,357",Tlazazalca,Total del Municipio,814,16,0,537,2016,8
Tocumbo,"5,898",Tocumbo,Total del Municipio,1666,82,0,907,3537,60
Tumbiscatío,"2,640",Tumbiscatío,Total del Municipio,949,19,0,518,1499,52
Turicato,"9,434",Turicato,Total del Municipio,3135,697,27,1648,6332,142
Tuxpan,"10,326",Tuxpan,Total del Municipio,2372,68,0,1048,6604,80
Tuzantla,"4,758",Tuzantla,Total del Municipio,1803,14,0,1091,3564,58
Tzintzuntzan,"4,244",Tzintzuntzan,Total del Municipio,1895,3223,42,921,3471,24
Tzitzio,"2,797",Tzitzio,Total del Municipio,1480,21,0,607,1876,148
Uruapan,"113,545",Uruapan,Total del Municipio,41671,26978,1911,17321,88958,294
Venustiano Carranza,"7,163",Venustiano Carranza,Total del Municipio,3189,52,0,1763,6404,19
Villamar,"8,704",Villamar,Total del Municipio,2157,40,0,1032,4547,10
Vista Hermosa,"8,721",Vista Hermosa,Total del Municipio,1712,44,0,1033,5323,13
Yurécuaro,"14,804",Yurécuaro,Total del Municipio,2680,1081,50,1633,8170,35
Zacapu,"20,192",Zacapu,Total del Municipio,10983,2426,1,4670,20280,91
Zamora,"58,877",Zamora,Total del Municipio,23587,2965,14,10740,57338,156
Zináparo,"1,868",Zináparo,Total del Municipio,413,6,0,221,995,4
Zinapécuaro,"19,286",Zinapécuaro,Total del Municipio,6699,61,0,3229,12731,52
Ziracuaretiro,"6,757",Ziracuaretiro,Total del Municipio,1408,213,0,640,4051,23
Zitácuaro,"43,312",Zitácuaro,Total del Municipio,14932,9359,69,6617,36883,306
José Sixto Verduzco,"10,878",José Sixto Verduzco,Total del Municipio,4472,32,0,2127,7047,26
