REL_H_M,PROM_HNV,P3HLI_HE,P5_HLI_HE,GRAPROES,GRAPROES_F,GRAPROES_M,PROM_OCUP,PRO_OCUP_C,ic_ali,NOM_ENT
92.45,2.33,869,865,7.32,7.51,7.12,3.54,1.04,21.0,Veracruz de Ignacio de la Llave
85.4,1.74,1861,1858,11.35,11.1,11.65,3.26,0.79,30.4,Veracruz de Ignacio de la Llave
94.06,2.29,122,122,7.88,7.78,8.0,3.1,0.85,14.8,Veracruz de Ignacio de la Llave
90.48,2.16,590,589,8.01,7.41,8.7,3.4,1.18,22.8,Veracruz de Ignacio de la Llave
104.2,2.54,261,261,7.19,7.24,7.14,3.17,1.0,42.2,Veracruz de Ignacio de la Llave
96.83,2.5,11306,11096,5.85,5.41,6.31,3.24,1.35,22.2,Veracruz de Ignacio de la Llave
93.29,2.38,29469,29329,8.32,8.16,8.48,3.51,1.09,22.4,Veracruz de Ignacio de la Llave
97.75,2.19,93,90,7.93,7.83,8.03,3.15,0.93,34.8,Veracruz de Ignacio de la Llave
95.95,2.25,77,77,7.25,7.38,7.12,3.49,1.0,20.8,Veracruz de Ignacio de la Llave
97.85,2.32,166,165,8.39,8.37,8.4,3.97,1.1,17.2,Veracruz de Ignacio de la Llave
92.75,2.91,4624,4530,7.25,7.02,7.5,3.48,0.94,18.8,Veracruz de Ignacio de la Llave
92.0,2.64,8753,8693,6.72,6.67,6.77,3.39,0.97,17.8,Veracruz de Ignacio de la Llave
87.11,1.83,3359,3348,10.84,10.61,11.11,3.32,0.9,27.3,Veracruz de Ignacio de la Llave
98.64,2.2,867,865,8.81,8.72,8.9,3.5,1.07,6.2,Veracruz de Ignacio de la Llave
95.37,2.2,84,84,8.13,8.18,8.08,3.11,0.88,11.9,Veracruz de Ignacio de la Llave
96.43,2.31,1217,1217,8.57,8.64,8.49,3.38,1.0,12.0,Veracruz de Ignacio de la Llave
95.79,2.13,9171,9108,8.18,8.21,8.14,4.01,1.27,15.3,Veracruz de Ignacio de la Llave
93.17,2.12,15,15,8.38,8.38,8.38,3.95,1.12,40.5,Veracruz de Ignacio de la Llave
85.9,1.86,540,540,10.64,10.45,10.86,3.39,0.87,45.3,Veracruz de Ignacio de la Llave
93.01,2.16,4,4,7.19,7.06,7.33,2.98,0.82,28.5,Veracruz de Ignacio de la Llave
94.18,2.22,2147,2124,6.62,6.47,6.79,4.22,1.61,51.4,Veracruz de Ignacio de la Llave
90.1,2.27,514,514,7.23,6.93,7.57,3.61,1.08,35.7,Veracruz de Ignacio de la Llave
96.18,2.52,227,227,6.73,6.57,6.91,3.43,1.0,32.1,Veracruz de Ignacio de la Llave
96.4,2.1,249,247,8.3,8.27,8.32,3.23,0.91,23.3,Veracruz de Ignacio de la Llave
93.6,2.93,5019,4990,5.65,5.45,5.87,3.63,1.03,34.0,Veracruz de Ignacio de la Llave
90.4,2.42,146,146,6.63,6.3,7.01,3.41,1.09,26.6,Veracruz de Ignacio de la Llave
93.19,2.48,4961,4943,7.42,7.05,7.84,3.62,1.21,48.2,Veracruz de Ignacio de la Llave
99.34,2.55,11,11,6.8,6.78,6.83,4.17,1.08,27.1,Veracruz de Ignacio de la Llave
91.65,2.04,236,235,8.81,8.57,9.09,3.31,1.07,27.2,Veracruz de Ignacio de la Llave
95.42,2.58,17143,16842,5.31,5.15,5.48,4.39,1.72,19.9,Veracruz de Ignacio de la Llave
97.29,2.36,36,36,7.2,7.1,7.3,3.31,1.0,16.1,Veracruz de Ignacio de la Llave
92.59,2.53,25222,24388,5.62,5.3,5.98,3.66,1.48,22.2,Veracruz de Ignacio de la Llave
100.19,2.65,817,816,7.51,7.36,7.66,3.3,1.05,38.2,Veracruz de Ignacio de la Llave
100.75,2.89,278,278,7.26,7.26,7.26,2.95,0.93,19.4,Veracruz de Ignacio de la Llave
105.2,2.57,109,107,7.37,7.4,7.34,3.03,0.98,28.2,Veracruz de Ignacio de la Llave
92.52,2.69,411,411,7.47,7.17,7.8,3.16,0.99,29.9,Veracruz de Ignacio de la Llave
102.69,2.9,734,734,6.66,6.58,6.74,3.25,0.96,9.5,Veracruz de Ignacio de la Llave
92.87,2.76,39929,39112,7.94,7.82,8.07,3.65,1.08,19.1,Veracruz de Ignacio de la Llave
91.38,2.38,8472,8308,6.37,6.14,6.64,3.45,1.33,20.6,Veracruz de Ignacio de la Llave
104.78,2.86,8,8,6.23,6.37,6.1,4.1,1.29,32.0,Veracruz de Ignacio de la Llave
97.21,2.53,845,844,7.61,7.59,7.64,3.24,1.01,13.1,Veracruz de Ignacio de la Llave
92.01,2.4,17908,17463,5.04,4.53,5.62,5.2,2.06,6.9,Veracruz de Ignacio de la Llave
96.15,2.85,2403,2367,7.13,7.03,7.24,3.42,0.99,18.4,Veracruz de Ignacio de la Llave
100.06,2.43,27,27,6.08,5.99,6.18,3.78,1.02,21.4,Veracruz de Ignacio de la Llave
97.03,2.74,9,9,6.56,6.57,6.55,3.88,1.12,28.8,Veracruz de Ignacio de la Llave
94.02,2.17,30,30,8.37,8.35,8.38,3.46,0.92,21.4,Veracruz de Ignacio de la Llave
103.07,2.48,13,13,6.58,6.71,6.45,3.76,1.07,28.6,Veracruz de Ignacio de la Llave
104.55,2.37,6,6,5.93,6.13,5.74,3.36,0.9,38.5,Veracruz de Ignacio de la Llave
96.94,2.78,1412,1411,7.76,7.51,8.02,3.47,1.13,29.7,Veracruz de Ignacio de la Llave
97.45,2.44,11582,11307,6.33,6.3,6.37,3.97,1.41,29.9,Veracruz de Ignacio de la Llave
95.03,3.01,6165,5956,5.04,4.86,5.24,3.8,1.08,26.1,Veracruz de Ignacio de la Llave
90.21,2.44,3372,3331,6.71,6.97,6.41,3.82,1.23,20.0,Veracruz de Ignacio de la Llave
96.81,2.53,465,464,7.16,7.01,7.33,3.46,1.17,24.1,Veracruz de Ignacio de la Llave
96.7,2.57,10252,10141,6.8,6.81,6.78,3.53,1.12,17.5,Veracruz de Ignacio de la Llave
91.81,2.21,2049,2025,8.36,8.3,8.42,3.1,0.93,16.3,Veracruz de Ignacio de la Llave
92.9,2.33,2290,2290,8.47,8.42,8.52,3.54,1.12,30.9,Veracruz de Ignacio de la Llave
94.89,2.85,4637,4573,5.8,5.58,6.03,3.57,0.92,12.9,Veracruz de Ignacio de la Llave
97.75,2.33,69,68,7.24,7.36,7.13,3.05,0.87,23.4,Veracruz de Ignacio de la Llave
96.92,2.65,8,8,7.0,7.02,6.98,4.14,1.28,26.1,Veracruz de Ignacio de la Llave
93.23,2.09,21,21,7.86,8.04,7.66,2.92,0.86,20.0,Veracruz de Ignacio de la Llave
98.89,2.29,29,29,7.23,7.2,7.26,3.52,1.0,23.9,Veracruz de Ignacio de la Llave
94.67,2.35,130,130,7.34,7.48,7.19,3.01,0.96,26.4,Veracruz de Ignacio de la Llave
95.1,2.13,36,36,8.42,8.31,8.55,3.94,1.18,29.9,Veracruz de Ignacio de la Llave
101.85,2.41,42,42,6.29,6.44,6.14,3.86,1.02,19.2,Veracruz de Ignacio de la Llave
93.14,2.21,467,467,7.79,7.78,7.81,3.5,1.11,8.8,Veracruz de Ignacio de la Llave
87.9,2.57,6295,6033,5.67,5.73,5.6,4.18,1.34,13.2,Veracruz de Ignacio de la Llave
94.33,2.15,1646,1625,7.96,7.9,8.04,4.08,1.38,12.8,Veracruz de Ignacio de la Llave
96.69,2.11,17,17,8.34,8.44,8.24,3.44,0.93,24.1,Veracruz de Ignacio de la Llave
93.87,2.65,7,7,6.46,6.53,6.38,4.38,1.27,13.9,Veracruz de Ignacio de la Llave
98.08,2.27,21,21,6.68,6.77,6.58,3.74,0.97,18.2,Veracruz de Ignacio de la Llave
93.21,2.32,3966,3889,7.88,7.9,7.85,3.17,0.93,15.1,Veracruz de Ignacio de la Llave
92.28,2.04,1980,1979,9.87,9.78,9.97,3.31,0.96,14.3,Veracruz de Ignacio de la Llave
97.38,2.24,3,3,7.53,7.43,7.63,2.74,0.71,33.0,Veracruz de Ignacio de la Llave
92.57,1.98,57,57,9.07,8.89,9.26,3.03,0.82,28.9,Veracruz de Ignacio de la Llave
99.93,2.77,9451,9308,6.73,6.78,6.69,3.98,1.26,22.2,Veracruz de Ignacio de la Llave
93.67,2.26,43,43,7.9,7.87,7.92,3.09,0.91,23.5,Veracruz de Ignacio de la Llave
90.02,1.67,4086,4060,10.6,10.42,10.81,3.0,0.89,33.4,Veracruz de Ignacio de la Llave
95.83,2.66,15,15,7.09,6.9,7.3,4.25,1.3,13.0,Veracruz de Ignacio de la Llave
86.67,1.71,2646,2637,11.27,11.15,11.41,3.23,0.8,26.3,Veracruz de Ignacio de la Llave
94.52,2.09,109,109,7.77,7.71,7.84,3.87,1.09,57.8,Veracruz de Ignacio de la Llave
100.75,2.83,1932,1891,6.25,6.04,6.46,3.93,1.61,47.5,Veracruz de Ignacio de la Llave
88.9,2.19,91,89,8.03,8.08,7.97,3.24,0.84,23.2,Veracruz de Ignacio de la Llave
97.9,2.85,155,155,6.65,6.6,6.7,3.38,0.93,19.0,Veracruz de Ignacio de la Llave
91.21,3.03,105,104,5.93,5.89,5.97,3.4,1.05,25.1,Veracruz de Ignacio de la Llave
90.02,2.25,3776,3766,7.65,7.02,8.39,3.76,1.43,23.7,Veracruz de Ignacio de la Llave
99.92,2.32,20,19,7.03,7.22,6.84,3.61,0.89,22.6,Veracruz de Ignacio de la Llave
93.56,2.41,25934,25599,6.75,6.81,6.7,3.66,1.18,46.8,Veracruz de Ignacio de la Llave
95.51,2.71,9724,9394,5.59,5.32,5.89,3.67,1.17,48.6,Veracruz de Ignacio de la Llave
93.55,2.76,8761,8571,6.42,6.1,6.77,4.03,1.44,15.6,Veracruz de Ignacio de la Llave
96.75,2.54,6017,6002,8.17,8.13,8.21,3.57,1.04,45.9,Veracruz de Ignacio de la Llave
101.72,2.29,3383,3338,6.77,6.78,6.76,3.59,1.46,11.1,YucatÃ¡n
99.83,2.01,4396,4388,8.33,8.19,8.47,3.94,1.38,17.2,YucatÃ¡n
98.63,2.41,5566,5555,7.39,7.25,7.55,3.75,1.46,32.2,YucatÃ¡n
96.54,2.09,778,778,8.74,8.6,8.89,3.53,1.19,16.2,YucatÃ¡n
101.02,2.25,689,689,7.55,7.4,7.7,3.42,1.3,22.7,YucatÃ¡n
102.41,2.43,1759,1758,7.23,7.46,7.01,3.41,1.21,18.0,YucatÃ¡n
101.29,2.11,1374,1374,7.87,7.57,8.17,3.65,1.24,11.5,YucatÃ¡n
101.27,2.61,1752,1751,6.82,7.0,6.63,3.41,1.42,19.3,YucatÃ¡n
96.05,2.31,732,731,8.27,8.16,8.39,3.4,1.18,22.0,YucatÃ¡n
106.83,2.83,1699,1661,6.44,6.42,6.46,3.69,1.55,28.8,YucatÃ¡n
101.95,2.18,382,382,7.07,7.26,6.88,3.54,1.32,37.9,YucatÃ¡n
98.72,2.48,1108,1108,7.03,7.41,6.63,3.14,1.1,25.2,YucatÃ¡n
104.75,2.48,2421,2371,6.65,6.34,6.96,4.28,1.51,18.2,YucatÃ¡n
101.38,2.64,3172,3134,6.77,6.49,7.05,3.77,1.52,12.4,YucatÃ¡n
100.65,2.32,1877,1864,7.86,8.15,7.57,3.45,1.45,7.3,YucatÃ¡n
101.12,2.53,25415,24897,6.51,6.22,6.79,4.57,2.0,12.1,YucatÃ¡n
103.11,2.48,6329,6189,7.65,7.43,7.86,4.57,1.86,17.3,YucatÃ¡n
102.75,1.99,303,303,9.2,9.15,9.24,3.43,1.17,15.6,YucatÃ¡n
100.97,2.68,3304,3186,6.82,6.48,7.16,4.27,1.68,34.0,YucatÃ¡n
104.93,2.13,1112,1112,8.66,8.73,8.59,3.34,1.18,11.5,YucatÃ¡n
96.96,2.43,2288,2263,6.56,6.54,6.58,3.63,1.35,23.9,YucatÃ¡n
96.11,1.74,1458,1458,11.24,11.06,11.43,3.34,0.85,22.7,YucatÃ¡n
106.76,2.42,1045,1037,7.9,7.98,7.82,3.89,1.39,15.5,YucatÃ¡n
102.99,2.3,2548,2539,7.27,7.21,7.34,3.67,1.51,27.9,YucatÃ¡n
98.47,2.01,677,677,8.33,8.34,8.32,3.32,1.07,25.4,YucatÃ¡n
101.86,2.13,422,422,9.41,9.5,9.31,3.34,1.04,20.4,YucatÃ¡n
103.46,2.21,614,614,7.9,8.05,7.76,3.25,1.16,17.1,YucatÃ¡n
100.82,2.1,103,103,8.57,8.95,8.18,3.33,1.2,22.5,YucatÃ¡n
104.95,2.52,1759,1750,6.74,6.82,6.67,3.72,1.52,20.9,YucatÃ¡n
101.86,2.51,1279,1276,6.89,6.79,6.99,3.56,1.4,21.8,YucatÃ¡n
95.92,2.33,3308,3297,7.94,7.88,8.0,4.07,1.36,12.7,YucatÃ¡n
102.96,2.45,7941,7894,7.03,6.96,7.1,3.96,1.48,40.7,YucatÃ¡n
100.86,2.27,9889,9847,7.63,7.26,7.99,3.68,1.44,29.5,YucatÃ¡n
99.51,2.38,2938,2933,7.26,6.97,7.56,3.86,1.63,11.5,YucatÃ¡n
98.88,2.18,2002,1990,6.94,6.94,6.94,3.48,1.31,36.2,YucatÃ¡n
101.19,2.19,3406,3395,7.38,7.4,7.35,3.63,1.46,19.9,YucatÃ¡n
105.72,2.33,1716,1716,6.95,6.95,6.96,3.33,1.29,22.6,YucatÃ¡n
98.74,2.14,5947,5920,8.18,8.06,8.3,3.93,1.42,25.7,YucatÃ¡n
100.67,2.16,398,398,8.41,8.32,8.49,3.72,1.21,13.3,YucatÃ¡n
98.92,2.28,8076,8066,8.05,7.95,8.15,3.61,1.25,29.4,YucatÃ¡n
98.44,1.84,16216,16202,9.13,8.99,9.27,3.54,1.13,26.0,YucatÃ¡n
96.71,2.63,1902,1895,7.03,7.25,6.8,3.56,1.41,20.1,YucatÃ¡n
102.56,2.33,2123,2109,7.28,7.05,7.49,4.03,1.67,11.8,YucatÃ¡n
101.44,2.28,1768,1766,7.45,7.2,7.7,3.74,1.54,22.9,YucatÃ¡n
107.52,2.1,939,938,8.13,8.13,8.13,3.4,1.31,9.0,YucatÃ¡n
96.07,2.33,1870,1861,6.81,6.67,6.95,3.81,1.3,23.0,YucatÃ¡n
97.35,2.26,3752,3732,7.22,7.13,7.32,3.84,1.39,25.1,YucatÃ¡n
101.89,2.26,8141,8119,7.84,7.51,8.16,3.77,1.43,22.0,YucatÃ¡n
109.12,2.67,3010,2909,6.13,6.03,6.22,4.2,1.62,27.2,YucatÃ¡n
105.02,2.02,334,333,8.32,8.18,8.45,3.42,1.12,19.0,YucatÃ¡n
97.65,2.15,7432,7416,8.41,8.34,8.48,3.73,1.28,10.2,YucatÃ¡n
100.0,2.2,4462,4459,8.21,8.02,8.4,3.96,1.29,32.2,YucatÃ¡n
95.3,2.14,962,961,7.97,7.99,7.95,3.45,1.29,30.3,YucatÃ¡n
92.94,1.7,69844,69795,11.4,11.19,11.63,3.27,0.83,13.7,YucatÃ¡n
102.11,2.29,4285,4274,7.35,7.31,7.38,3.7,1.4,24.3,YucatÃ¡n
92.97,2.32,15993,15859,7.37,7.22,7.54,3.95,1.3,27.9,YucatÃ¡n
97.61,2.42,1576,1576,7.41,7.66,7.15,3.51,1.28,26.4,YucatÃ¡n
98.62,2.64,12063,11978,7.67,7.58,7.78,4.05,1.43,36.2,YucatÃ¡n
99.85,2.01,2591,2591,9.33,9.42,9.24,3.56,1.15,29.4,YucatÃ¡n
96.77,2.55,288,288,7.43,7.54,7.31,3.2,1.15,19.9,YucatÃ¡n
104.74,2.08,387,386,7.82,8.17,7.51,3.61,1.38,23.3,YucatÃ¡n
106.58,2.41,2365,2363,7.42,7.48,7.37,3.57,1.41,23.5,YucatÃ¡n
101.39,2.17,1690,1688,7.99,7.63,8.35,3.89,1.5,22.5,YucatÃ¡n
105.83,2.09,129,129,8.15,8.46,7.86,3.35,1.22,9.7,YucatÃ¡n
101.78,2.38,710,710,7.79,7.59,7.99,3.51,1.44,22.1,YucatÃ¡n
99.24,2.37,2784,2764,7.37,7.11,7.63,3.75,1.47,22.5,YucatÃ¡n
104.16,2.19,1851,1851,7.48,7.43,7.53,3.73,1.4,24.5,YucatÃ¡n
105.78,2.33,596,596,7.98,8.36,7.63,3.23,1.18,22.4,YucatÃ¡n
104.49,2.65,3744,3738,6.84,6.64,7.03,3.74,1.56,24.0,YucatÃ¡n
99.55,2.4,1530,1527,8.3,8.63,7.97,3.37,1.12,24.0,YucatÃ¡n
105.16,2.66,925,922,7.25,7.37,7.13,3.37,1.58,28.1,YucatÃ¡n
107.72,2.33,518,518,8.21,8.09,8.33,3.25,1.17,7.6,YucatÃ¡n
105.76,2.85,3930,3802,6.56,6.22,6.89,4.57,1.68,24.9,YucatÃ¡n
102.36,2.07,1760,1757,7.94,7.97,7.92,3.47,1.26,17.3,YucatÃ¡n
99.17,2.36,4164,4114,6.89,6.7,7.08,4.13,1.56,20.7,YucatÃ¡n
101.61,2.25,7265,7209,7.03,6.9,7.16,3.8,1.51,29.4,YucatÃ¡n
104.5,2.42,1022,1017,6.85,7.05,6.67,3.46,1.49,24.1,YucatÃ¡n
101.13,2.3,1036,1036,7.56,7.38,7.74,3.46,1.38,11.6,YucatÃ¡n
96.49,2.27,20094,19869,7.97,7.82,8.13,3.89,1.37,26.8,YucatÃ¡n
102.8,2.21,4377,4365,6.43,6.25,6.61,3.94,1.44,31.8,YucatÃ¡n
98.52,2.52,2262,2231,7.22,6.86,7.6,4.19,1.78,30.1,YucatÃ¡n
95.0,2.09,346,346,8.88,8.91,8.84,3.13,1.03,19.1,YucatÃ¡n
99.06,2.12,182,182,8.03,8.25,7.82,3.37,1.2,15.2,YucatÃ¡n
101.4,2.44,1410,1410,7.3,7.17,7.42,3.75,1.46,30.3,YucatÃ¡n
101.94,2.45,10847,10687,7.01,6.79,7.23,3.91,1.56,27.0,YucatÃ¡n
100.28,2.56,1145,1138,6.94,7.04,6.85,3.13,1.4,28.4,YucatÃ¡n
103.88,2.38,1608,1604,6.44,6.36,6.51,3.68,1.5,15.2,YucatÃ¡n
99.27,2.75,863,861,7.25,7.52,6.98,3.36,1.44,11.9,YucatÃ¡n
96.98,2.12,12352,12338,8.95,8.9,9.01,4.01,1.32,26.9,YucatÃ¡n
101.97,2.21,5269,5228,6.7,6.25,7.15,4.15,1.71,19.7,YucatÃ¡n
101.11,2.23,6522,6477,7.61,7.39,7.82,3.93,1.51,26.8,YucatÃ¡n
99.75,2.53,5752,5611,7.07,6.8,7.35,4.06,1.79,34.8,YucatÃ¡n
96.31,1.96,1954,1954,9.17,9.03,9.32,3.59,1.11,17.7,YucatÃ¡n
99.71,2.41,3981,3888,7.02,6.82,7.23,3.82,1.45,10.5,YucatÃ¡n
97.98,1.98,1207,1204,8.92,8.66,9.19,3.7,1.14,11.0,YucatÃ¡n
98.61,2.34,25321,25176,7.88,7.89,7.86,3.79,1.37,23.0,YucatÃ¡n
105.24,2.61,1590,1577,7.16,7.42,6.91,3.37,1.38,29.7,YucatÃ¡n
99.9,2.57,6545,6518,7.48,7.52,7.44,3.83,1.41,32.2,YucatÃ¡n
99.57,2.33,2980,2936,6.7,6.53,6.87,4.16,1.63,32.3,YucatÃ¡n
99.07,2.1,738,738,8.01,7.91,8.1,3.55,1.14,14.3,YucatÃ¡n
99.13,1.96,10366,10358,9.11,8.93,9.29,3.57,1.15,27.0,YucatÃ¡n
96.3,2.13,37233,36533,8.88,8.64,9.15,3.86,1.37,27.1,YucatÃ¡n
102.88,2.44,1537,1531,7.32,7.08,7.55,3.83,1.56,19.8,YucatÃ¡n
104.53,2.83,9199,9090,6.8,6.81,6.79,3.89,1.58,33.6,YucatÃ¡n
97.78,2.0,294,294,9.22,9.15,9.3,3.63,1.11,13.9,YucatÃ¡n
100.45,2.43,360,360,8.5,8.7,8.3,3.24,1.25,19.5,YucatÃ¡n
94.47,2.84,17,17,7.5,7.63,7.37,3.45,0.9,3.4,Zacatecas
89.86,2.86,5,5,7.29,7.5,7.05,3.67,0.92,9.6,Zacatecas
98.69,2.68,2,2,7.46,7.74,7.17,2.97,0.74,9.2,Zacatecas
99.6,2.79,18,18,7.78,8.1,7.46,3.51,0.93,13.4,Zacatecas
97.41,2.32,184,178,8.93,8.95,8.9,3.81,1.0,15.9,Zacatecas
95.25,2.67,4,4,8.63,8.9,8.35,3.71,0.93,16.9,Zacatecas
94.19,2.96,1,1,8.26,8.58,7.92,3.77,0.89,11.0,Zacatecas
100.25,2.46,13,13,9.13,9.3,8.96,3.71,0.91,23.2,Zacatecas
94.65,2.67,5,5,8.39,8.49,8.29,4.17,1.14,14.7,Zacatecas
97.87,3.28,0,0,6.75,6.99,6.51,2.97,0.73,12.6,Zacatecas
103.16,3.6,2,2,6.93,7.19,6.68,3.42,0.91,4.5,Zacatecas
95.93,2.36,639,616,9.22,9.35,9.08,3.74,0.94,14.0,Zacatecas
93.33,3.01,1,1,7.96,8.35,7.54,3.98,1.1,15.3,Zacatecas
97.56,2.5,176,167,8.71,8.81,8.6,3.66,0.93,21.6,Zacatecas
93.83,2.8,9,9,7.92,8.25,7.57,3.73,0.94,6.0,Zacatecas
94.67,2.83,5,5,7.51,7.84,7.15,3.89,1.05,22.2,Zacatecas
93.75,1.93,521,517,11.39,11.43,11.35,3.49,0.84,15.2,Zacatecas
98.56,2.95,4,4,7.39,7.43,7.36,3.35,0.83,9.0,Zacatecas
96.58,2.64,77,77,8.67,8.81,8.51,3.55,0.91,13.0,Zacatecas
94.86,2.43,141,132,9.06,9.14,8.97,3.35,0.8,13.9,Zacatecas
98.0,3.49,4,4,7.94,8.04,7.84,4.11,1.06,21.3,Zacatecas
93.92,2.63,24,23,8.79,9.21,8.33,3.66,0.95,13.0,Zacatecas
92.5,2.42,18,18,8.93,8.87,8.99,3.14,0.77,9.1,Zacatecas
95.72,2.6,60,59,9.13,9.26,9.0,4.11,1.08,19.9,Zacatecas
95.32,2.72,5,5,8.57,8.57,8.58,4.04,1.04,22.0,Zacatecas
105.17,3.11,6,6,7.41,7.59,7.24,3.82,1.02,21.4,Zacatecas
113.58,3.03,0,0,7.54,7.86,7.27,3.78,1.06,21.5,Zacatecas
98.46,2.99,15,12,7.15,7.04,7.26,3.33,0.9,5.8,Zacatecas
95.36,2.68,14,12,8.21,8.5,7.9,4.02,0.95,9.7,Zacatecas
93.97,2.75,8,8,7.81,8.2,7.4,3.09,0.79,9.1,Zacatecas
97.39,2.93,45,45,7.84,8.0,7.67,3.11,0.74,10.7,Zacatecas
98.45,2.28,47,44,9.64,9.67,9.6,3.65,0.86,15.0,Zacatecas
95.93,2.86,9,8,7.52,7.4,7.65,3.11,0.77,4.5,Zacatecas
93.22,2.69,36,35,8.14,8.24,8.01,3.29,0.79,6.2,Zacatecas
94.23,2.77,4,4,8.07,8.27,7.85,3.95,1.05,22.7,Zacatecas
92.92,2.69,58,57,8.56,8.74,8.36,4.05,1.05,28.3,Zacatecas
92.72,2.84,17,16,7.85,8.25,7.41,3.75,0.98,25.2,Zacatecas
99.81,2.57,124,118,7.67,7.81,7.54,3.71,1.07,27.4,Zacatecas
94.06,2.45,90,88,9.07,9.27,8.84,3.64,0.92,17.8,Zacatecas
95.02,2.83,4,4,8.08,8.48,7.64,3.97,1.05,12.2,Zacatecas
95.27,3.04,5,5,8.0,8.16,7.82,3.22,0.83,18.6,Zacatecas
97.73,2.64,28,28,8.69,8.9,8.47,3.7,0.91,20.9,Zacatecas
94.72,3.09,1,1,7.59,7.8,7.36,3.38,0.91,9.1,Zacatecas
95.59,2.71,31,31,8.1,8.2,7.99,3.66,0.97,12.4,Zacatecas
91.86,2.74,15,15,8.23,8.42,8.03,3.26,0.87,7.4,Zacatecas
97.62,2.97,1,1,6.94,7.02,6.85,3.14,0.79,12.0,Zacatecas
95.19,2.73,14,13,8.62,8.78,8.45,3.23,0.82,6.7,Zacatecas
93.93,2.49,477,447,8.85,9.04,8.65,3.41,0.92,18.9,Zacatecas
96.38,2.53,22,22,8.61,8.72,8.49,4.38,1.13,18.7,Zacatecas
97.07,2.77,137,126,7.7,7.84,7.55,3.11,0.8,20.5,Zacatecas
97.55,3.06,863,829,8.36,8.39,8.32,3.56,0.9,12.8,Zacatecas
94.95,2.52,3,3,8.72,8.97,8.46,3.89,0.95,12.1,Zacatecas
97.26,2.54,3,3,9.19,9.26,9.12,3.96,1.03,20.9,Zacatecas
90.51,2.88,2,2,8.35,8.59,8.07,3.78,0.96,29.0,Zacatecas
95.59,2.91,4,4,8.02,8.29,7.72,3.93,1.08,16.1,Zacatecas
99.35,2.65,178,171,7.72,8.0,7.44,3.77,1.03,14.1,Zacatecas
97.63,2.81,13,13,8.08,8.27,7.88,3.47,0.84,26.0,Zacatecas
92.71,1.95,559,553,11.57,11.57,11.56,3.49,0.75,13.6,Zacatecas
